"","State","OB_percent_2004","OB_percent_2005","OB_percent_2006","OB_percent_2007","OB_percent_2008","OB_percent_2009","OB_percent_2010","OB_percent_2011","OB_percent_2012","AC_percent_2004","AC_percent_2005","AC_percent_2006","AC_percent_2007","AC_percent_2008","AC_percent_2009","AC_percent_2010","AC_percent_2011","AC_percent_2012"
"33","New York",22.2290322580645,23.2901612903226,24.5612903225806,25.6016129032258,26.6096774193548,27.5338709677419,27.3967741935484,27.4532258064516,27.3403225806452,23.0145161290323,23.2048387096774,23.5064516129032,24.3693548387097,24.8645161290323,25.3387096774194,24.6096774193548,23.95,24.1612903225806
"34","North Carolina",26.692,27.494,28.622,29.438,29.869,30.74,30.365,30.613,31.024,26.772,26.414,26.259,26.368,26.805,27.485,27.89,27.489,27.663
"35","North Dakota",26.1547169811321,26.9752830188679,27.4924528301887,28.322641509434,28.6283018867925,30.8660377358491,31.3339622641509,30.8283018867925,31.5301886792453,27.2471698113208,26.4169811320755,26.6339622641509,27.4603773584906,28.2830188679245,30.2075471698113,30.4037735849057,28.8528301886792,29.5169811320755
"36","Ohio",25.5079545454545,26.0718181818182,27.9909090909091,29.5272727272727,29.9602272727273,31.5181818181818,31.2897727272727,31.6988636363636,32.0715909090909,25.825,25.5886363636364,26.1204545454545,27.0045454545455,27.4772727272727,28.8579545454545,28.9193181818182,28.4352272727273,28.7545454545455
"37","Oklahoma",26.8207792207792,27.741038961039,28.6285714285714,30.0688311688312,31.187012987013,32.6701298701299,33.3883116883117,33.6701298701299,34.0974025974026,32.1454545454545,31.5168831168831,32.3441558441558,32.3948051948052,33.1831168831169,33.6428571428571,33.7857142857143,32.9467532467532,33.2480519480519
"38","Oregon",23.9416666666667,24.5336111111111,25.8944444444444,26.45,26.3861111111111,26.8277777777778,27.2722222222222,27.8972222222222,27.7777777777778,19.2527777777778,19.225,18.9055555555556,18.3833333333333,18.9888888888889,19.7611111111111,19.5166666666667,18.3083333333333,18.325
"39","Pennsylvania",25.6328358208955,25.8292537313433,26.9194029850746,27.9582089552239,28.9820895522388,30.1328358208955,30.2820895522388,30.7805970149254,30.9686567164179,25.1985074626866,25.0955223880597,24.8865671641791,25.3179104477612,26.5776119402985,27.2537313432836,26.9179104477612,25.510447761194,25.5701492537313
"40","Puerto Rico",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Rhode Island",18.3,19.368,20.8,20.74,22.32,23.54,23.98,23.92,24.44,21.58,22.04,21.9,21.66,22.1,22.36,22.86,21.66,21.92
"42","South Carolina",28.1173913043478,29.4495652173913,30.7369565217391,31.545652173913,32.4521739130435,34.3695652173913,34.65,34.9260869565217,34.8978260869565,27.154347826087,27.404347826087,27.545652173913,28.145652173913,29.2869565217391,30.3478260869565,29.4217391304348,28.395652173913,28.1521739130435
"43","South Dakota",26.9590909090909,27.4871212121212,28.1393939393939,29.0833333333333,29.9181818181818,32.3,32.3863636363636,31.7287878787879,31.8469696969697,25.5636363636364,26.2560606060606,27.4909090909091,28.5106060606061,28.6893939393939,30.0893939393939,29.8348484848485,27.8212121212121,26.7590909090909
"44","Tennessee",26.4084210526316,27.6436842105263,29.1726315789474,30.3578947368421,31.5968421052632,32.7210526315789,32.5705263157895,32.5084210526316,32.9389473684211,33.2663157894737,33.1242105263158,34.7094736842105,33.1715789473684,33.3315789473684,32.3526315789474,34.1147368421053,33.4126315789474,35.6768421052632
"45","Texas",24.8456692913386,25.374094488189,26.5196850393701,27.201968503937,27.6964566929134,29.5484251968504,29.8141732283465,29.9377952755906,30.1574803149606,25.1740157480315,26.103937007874,27.4263779527559,28.1850393700787,28.0082677165354,28.4858267716535,28.2043307086614,27.3165354330709,28.0106299212598
"46","Utah",21.1689655172414,21.7958620689655,22.7137931034483,23.7206896551724,24.6551724137931,25.7034482758621,25.7965517241379,25.4896551724138,25.6586206896552,19.6103448275862,20.3448275862069,21.6344827586207,22.6689655172414,21.7275862068966,21.1068965517241,21.1310344827586,19.9068965517241,20.9724137931034
"47","Vermont",20.3928571428571,21.4885714285714,22.6714285714286,23.4642857142857,23.8071428571429,25.2357142857143,25.9214285714286,25.6142857142857,25.5428571428571,19.5285714285714,19.4428571428571,19.6214285714286,19.7785714285714,20.2857142857143,20.5714285714286,20.6214285714286,19.7071428571429,20.3857142857143
"48","Virginia",24.8522388059701,26.0736567164179,27.5365671641791,28.0149253731343,28.0917910447761,29.8119402985075,30.2044776119403,30.155223880597,29.7037313432836,24.6097014925373,24.2694029850746,24.755223880597,25.1582089552239,25.5097014925373,26.5283582089552,26.2641791044776,25.3119402985075,25.4873134328358
"49","Washington",24.6333333333333,25.2728205128205,26.5076923076923,27.3282051282051,28.2897435897436,29.2179487179487,29.5871794871795,29.2128205128205,29.2461538461538,19.0435897435897,18.9051282051282,18.9076923076923,19.5282051282051,20.2461538461538,20.6358974358974,21.1205128205128,20.5282051282051,21.048717948718
"50","West Virginia",28.7327272727273,29.8187272727273,30.9236363636364,31.5872727272727,32,33.5145454545455,33.7018181818182,34.2163636363636,35.1054545454545,28.3272727272727,27.3527272727273,28.4509090909091,29.72,32.0890909090909,33.4309090909091,35.04,33.8472727272727,33.3727272727273
"51","Wisconsin",24.025,25.9248611111111,27.1236111111111,27.7069444444444,28.4041666666667,29.7097222222222,29.6805555555556,29.6583333333333,30.6277777777778,20.0611111111111,20.2930555555556,20.8805555555556,22.0513888888889,22.6777777777778,23.3972222222222,23.0388888888889,22.1027777777778,23.2236111111111
"52","Wyoming",21.5695652173913,22.3291304347826,23.7434782608696,24.4,24.9913043478261,25.5652173913043,25.4434782608696,25.5260869565217,25.9304347826087,21.995652173913,22.4,22.2260869565217,23.2260869565217,23.1130434782609,24.3826086956522,24.7391304347826,23.9217391304348,23.8304347826087
